"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:02:42.6856764 PM","notepad++.exe","8276","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.8854064 PM","System","4","WriteFile","C:\Users\Radoslaw Motyka\Documents\importantDocument.txt","SUCCESS","Offset: 0, Length: 1,048,576, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Very Low"
"7:02:42.8861869 PM","System","4","SetEndOfFileInformationFile","C:\Users\Radoslaw Motyka\Documents\importantDocument.txt","SUCCESS","EndOfFile: 1,048,576"
"7:02:42.8862012 PM","System","4","CreateFileMapping","C:\Users\Radoslaw Motyka\Documents\importantDocument.txt","SUCCESS","SyncType: SyncTypeOther"
"7:02:42.8862057 PM","System","4","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Users\Radoslaw Motyka\Documents\importantDocument.txt","SUCCESS",""
"7:02:43.9835345 PM","System","4","WriteFile","C:\Users\Radoslaw Motyka\Documents\importantDocument.txt","SUCCESS","Offset: 1,048,576, Length: 954,368, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Very Low"
"7:02:43.9843047 PM","System","4","SetEndOfFileInformationFile","C:\Users\Radoslaw Motyka\Documents\importantDocument.txt","SUCCESS","EndOfFile: 2,000,000"
"7:02:43.9843216 PM","System","4","CreateFileMapping","C:\Users\Radoslaw Motyka\Documents\importantDocument.txt","SUCCESS","SyncType: SyncTypeOther"
"7:02:43.9844347 PM","System","4","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Users\Radoslaw Motyka\Documents\importantDocument.txt","SUCCESS",""
"7:02:43.9844416 PM","System","4","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Documents\importantDocument.txt","SUCCESS",""
"7:02:45.3422060 PM","System","4","WriteFile","C:\Users\Radoslaw Motyka\inz tests\importantDocument.txt","SUCCESS","Offset: 0, Length: 1,048,576, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Very Low"
"7:02:45.3431103 PM","System","4","SetEndOfFileInformationFile","C:\Users\Radoslaw Motyka\inz tests\importantDocument.txt","SUCCESS","EndOfFile: 1,048,576"
"7:02:45.3431296 PM","System","4","CreateFileMapping","C:\Users\Radoslaw Motyka\inz tests\importantDocument.txt","SUCCESS","SyncType: SyncTypeOther"
"7:02:45.3431340 PM","System","4","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Users\Radoslaw Motyka\inz tests\importantDocument.txt","SUCCESS",""
"7:02:46.7170080 PM","System","4","WriteFile","C:\Users\Radoslaw Motyka\inz tests\importantDocument.txt","SUCCESS","Offset: 1,048,576, Length: 954,368, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Very Low"
"7:02:46.7178600 PM","System","4","SetEndOfFileInformationFile","C:\Users\Radoslaw Motyka\inz tests\importantDocument.txt","SUCCESS","EndOfFile: 2,000,000"
"7:02:46.7178878 PM","System","4","CreateFileMapping","C:\Users\Radoslaw Motyka\inz tests\importantDocument.txt","SUCCESS","SyncType: SyncTypeOther"
"7:02:46.7180374 PM","System","4","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Users\Radoslaw Motyka\inz tests\importantDocument.txt","SUCCESS",""
"7:02:46.7180473 PM","System","4","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\inz tests\importantDocument.txt","SUCCESS",""
"7:02:48.0828665 PM","System","4","WriteFile","C:\Users\Radoslaw Motyka\Downloads\importantDocument.txt","SUCCESS","Offset: 0, Length: 1,048,576, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Very Low"
"7:02:48.0841265 PM","System","4","SetEndOfFileInformationFile","C:\Users\Radoslaw Motyka\Downloads\importantDocument.txt","SUCCESS","EndOfFile: 1,048,576"
"7:02:48.0841613 PM","System","4","CreateFileMapping","C:\Users\Radoslaw Motyka\Downloads\importantDocument.txt","SUCCESS","SyncType: SyncTypeOther"
"7:02:48.0841671 PM","System","4","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Users\Radoslaw Motyka\Downloads\importantDocument.txt","SUCCESS",""
"7:02:49.4379660 PM","System","4","WriteFile","C:\Users\Radoslaw Motyka\Downloads\importantDocument.txt","SUCCESS","Offset: 1,048,576, Length: 954,368, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Very Low"
"7:02:49.4387227 PM","System","4","SetEndOfFileInformationFile","C:\Users\Radoslaw Motyka\Downloads\importantDocument.txt","SUCCESS","EndOfFile: 2,000,000"
"7:02:49.4387440 PM","System","4","CreateFileMapping","C:\Users\Radoslaw Motyka\Downloads\importantDocument.txt","SUCCESS","SyncType: SyncTypeOther"
"7:02:49.4388626 PM","System","4","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Users\Radoslaw Motyka\Downloads\importantDocument.txt","SUCCESS",""
"7:02:49.4388757 PM","System","4","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Downloads\importantDocument.txt","SUCCESS",""
