"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:52:05.7059513 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 7:49:33 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: D"
"7:52:05.7059609 PM","Explorer.EXE","4732","NotifyChangeDirectory","C:\Users\Radoslaw Motyka\inz tests","","Filter: FILE_NOTIFY_CHANGE_DIR_NAME"
"7:52:05.7060615 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:52:05.7060757 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 7:49:33 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: D"
"7:52:05.7060848 PM","Explorer.EXE","4732","NotifyChangeDirectory","C:\Users\Radoslaw Motyka\inz tests","","Filter: FILE_NOTIFY_CHANGE_FILE_NAME, FILE_NOTIFY_CHANGE_ATTRIBUTES, FILE_NOTIFY_CHANGE_LAST_WRITE"
"7:57:14.5941653 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:57:14.5941837 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 7:49:33 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: D"
"7:57:14.5941915 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"7:59:59.5317724 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:59:59.5317932 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 7:49:33 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: D"
"7:59:59.5318032 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"8:00:29.5558985 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:00:29.5559182 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 7:49:33 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: D"
"8:00:29.5559260 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"8:01:16.8760397 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:16.8760583 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 7:49:33 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: D"
"8:01:16.8760661 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"8:01:17.7056758 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests\desktop.ini","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Sequential Access, Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
